f0x,f0y,f1x,f1y,f2x,f2y,f3x,f3y,roll,pitch,label
-32.28,25.58,-53.96,5.15,-61.84,-18.86,-60.94,-13.16,80.34,-4.13,0
-36.53,27.99,-49.69,2.97,-64.58,-16.7,-61.1,-12.7,82.73,-2.76,0
-30.74,25.14,-45.1,7.83,-64.58,-16.7,-60.55,-10.18,82.87,-2.5,0
-31.36,25.82,-47.52,6.29,-59.62,-20.41,-56.49,-9.56,84.74,-2.92,0
-25.02,32.8,-47.52,6.29,-61.0,-17.32,-52.49,-7.82,88.51,-0.85,0
-27.62,23.8,-34.23,4.15,-58.4,-22.5,-54.56,-13.19,87.26,-6.05,0
-27.62,23.8,-43.78,2.67,-60.67,-20.5,-50.09,-14.68,86.58,-6.39,0
-31.46,23.23,-48.51,1.3,-59.65,-21.75,-55.45,-15.33,84.89,-7.17,0
-31.25,23.58,-48.53,4.72,-61.41,-20.13,-55.45,-15.33,84.9,-5.74,0
-31.11,25.73,-50.62,4.48,-60.46,-21.04,-50.0,-13.15,83.97,-5.3,0
-32.17,25.22,-49.49,4.28,-60.46,-21.04,-53.9,-12.34,84.06,-4.82,0
-32.2,26.6,-48.66,3.49,-62.64,-18.7,-56.45,-11.09,83.83,-4.39,0
-31.29,26.42,-48.66,3.49,-63.31,-18.04,-55.37,-12.99,83.73,-4.41,0
-27.9,26.66,-49.04,5.2,-62.67,-18.73,-57.3,-11.84,83.89,-3.69,0
-27.9,26.66,-52.25,6.34,-62.28,-19.23,-53.83,-10.18,84.01,-3.64,0
-30.9,26.58,-50.94,4.95,-63.43,-17.83,-55.71,-10.69,84.07,-3.54,0
-31.5,26.34,-49.61,5.36,-64.14,-17.15,-55.71,-10.69,83.79,-3.52,0
-32.02,27.27,-50.61,5.72,-63.85,-17.59,-56.29,-10.18,83.17,-3.18,0
-31.86,27.09,-50.46,5.7,-63.85,-17.59,-56.71,-10.91,83.06,-2.97,0
-31.32,26.94,-50.51,5.88,-64.26,-17.2,-57.2,-10.4,83.2,-2.84,0
-32.0,27.55,-50.51,5.88,-64.59,-16.88,-57.0,-10.29,83.23,-2.8,0
-31.08,27.38,-50.76,5.83,-65.11,-16.29,-57.54,-9.72,83.12,-2.81,0
-31.08,27.38,-48.74,4.18,-65.76,-15.49,-61.17,-8.3,81.24,-2.13,0
-35.58,29.2,-57.22,7.07,-65.09,-13.18,-71.75,-5.96,72.44,0.47,0
-40.5,30.15,-66.55,7.24,-64.18,-8.99,-71.75,-5.96,67.93,1.63,0
-41.72,30.57,-66.37,7.6,-64.31,-8.45,-72.35,-6.75,66.38,1.97,0
-41.73,30.88,-67.07,6.56,-64.31,-8.45,-73.9,-6.13,65.82,2.07,0
-41.76,30.46,-66.85,6.15,-62.92,-9.19,-74.09,-6.31,65.51,1.72,0
-42.93,29.54,-66.85,6.15,-62.67,-9.35,-73.71,-6.37,65.39,1.66,0
-42.5,30.49,-67.39,6.93,-62.86,-9.63,-73.59,-6.48,65.47,1.59,0
-42.5,30.49,-66.82,7.29,-63.93,-8.59,-74.52,-5.87,65.42,1.63,0
-42.85,29.55,-67.61,6.15,-62.41,-9.26,-72.9,-7.63,65.29,1.48,0
-42.88,30.32,-67.92,6.12,-62.87,-9.11,-72.9,-7.63,65.38,1.47,0
-43.06,29.5,-66.91,6.92,-62.85,-8.44,-74.23,-6.25,65.27,1.47,0
-43.03,29.48,-68.54,5.96,-62.57,-9.84,-73.86,-6.78,65.13,1.4,0
-42.95,29.24,-68.4,6.41,-62.57,-9.84,-73.45,-7.18,65.04,1.37,0
-43.34,29.74,-67.78,6.29,-61.86,-9.84,-73.42,-7.07,64.86,1.43,0
-43.07,29.62,-67.78,6.29,-61.72,-9.89,-74.25,-6.28,64.74,1.41,0
-43.59,30.14,-68.79,6.37,-61.9,-8.74,-74.65,-6.54,63.94,1.44,0
-43.59,30.14,-68.91,6.34,-60.74,-9.37,-74.6,-6.73,63.54,1.33,0
-43.8,29.25,-68.21,6.47,-62.4,-9.16,-74.37,-6.52,64.35,1.68,0
-43.34,29.75,-66.89,4.86,-57.53,-6.02,-74.37,-6.52,62.44,1.76,0
-46.14,29.99,-75.45,5.14,-56.31,-4.38,-75.59,-5.21,56.65,2.8,0
-48.31,29.97,-74.68,6.86,-56.31,-4.38,-74.03,-4.21,54.35,3.98,0
-50.6,28.61,-75.15,5.82,-53.27,-3.7,-71.49,-3.85,51.97,3.98,0
-49.95,29.49,-75.15,5.82,-53.45,-3.78,-70.88,-4.23,51.71,4.05,0
-49.67,29.19,-75.51,5.76,-53.34,-3.2,-71.59,-4.51,51.7,3.74,0
-49.67,29.19,-75.31,5.8,-52.61,-3.83,-71.64,-4.06,51.58,3.84,0
-50.22,29.13,-76.73,4.57,-53.58,-2.72,-71.41,-4.48,51.36,3.94,0
-50.7,28.76,-74.77,6.56,-52.81,-2.5,-71.41,-4.48,51.48,4.41,0
-49.52,30.33,-75.54,5.57,-52.16,-2.51,-70.98,-4.56,50.41,4.38,0
-49.92,29.68,-75.59,5.22,-52.16,-2.51,-70.5,-3.79,50.25,4.37,0
-50.49,29.16,-74.32,6.59,-52.21,-2.84,-70.12,-3.85,50.33,4.35,0
