f0x,f0y,f1x,f1y,f2x,f2y,f3x,f3y,roll,pitch,label
-49.83,14.88,-21.58,1.15,7.99,28.57,-16.51,10.86,-17.56,10.77,6
-49.83,14.88,-25.14,2.62,7.99,28.57,-16.51,10.86,-16.78,11.05,6
-49.83,14.88,-25.14,2.62,4.2,24.58,-16.51,10.86,-16.4,11.0,6
-49.83,14.88,-25.14,2.62,4.2,24.58,-15.05,11.98,-15.49,11.39,6
-50.41,17.75,-25.14,2.62,4.2,24.58,-15.05,11.98,-14.85,11.15,6
-50.41,17.75,-20.16,-1.25,4.2,24.58,-15.05,11.98,-15.04,10.61,6
-50.41,17.75,-20.16,-1.25,3.37,24.88,-15.05,11.98,-15.62,9.66,6
-50.41,17.75,-20.16,-1.25,3.37,24.88,-13.8,12.65,-17.08,10.46,6
-41.58,14.57,-20.16,-1.25,3.37,24.88,-13.8,12.65,-18.43,10.27,6
-41.58,14.57,-24.27,-0.68,3.37,24.88,-13.8,12.65,-18.89,10.41,6
-41.58,14.57,-24.27,-0.68,8.56,26.65,-13.8,12.65,-19.3,10.72,6
-41.58,14.57,-24.27,-0.68,8.56,26.65,-14.93,12.01,-19.15,10.91,6
-40.23,9.5,-24.27,-0.68,8.56,26.65,-14.93,12.01,-20.89,10.27,6
-40.23,9.5,-18.11,0.32,8.56,26.65,-14.93,12.01,-22.35,11.22,6
-40.23,9.5,-18.11,0.32,10.4,26.78,-14.93,12.01,-21.94,11.22,6
-40.23,9.5,-18.11,0.32,10.4,26.78,-11.07,13.47,-22.97,11.0,6
-38.46,9.7,-18.11,0.32,10.4,26.78,-11.07,13.47,-23.56,10.99,6
-38.46,9.7,-17.97,-2.1,10.4,26.78,-11.07,13.47,-23.65,10.8,6
-38.46,9.7,-17.97,-2.1,11.4,26.77,-11.07,13.47,-23.29,10.72,6
-38.46,9.7,-17.97,-2.1,11.4,26.77,-10.26,12.41,-23.48,10.54,6
-40.17,9.5,-17.97,-2.1,11.4,26.77,-10.26,12.41,-23.74,10.49,6
-40.17,9.5,-17.87,-1.39,11.4,26.77,-10.26,12.41,-23.74,10.46,6
-40.17,9.5,-17.87,-1.39,11.67,27.55,-10.26,12.41,-23.72,10.49,6
-40.17,9.5,-17.87,-1.39,11.67,27.55,-11.21,12.07,-24.09,10.52,6
-38.37,8.66,-17.87,-1.39,11.67,27.55,-11.21,12.07,-24.49,10.73,6
-38.37,8.66,-17.08,-2.37,11.67,27.55,-11.21,12.07,-24.21,10.75,6
-38.37,8.66,-17.08,-2.37,13.11,27.57,-11.21,12.07,-23.92,10.7,6
-38.37,8.66,-17.08,-2.37,13.11,27.57,-10.19,11.65,-23.81,10.68,6
